GEOID,NAME,B19013_001E,B19013_001M,B01003_001E,B01003_001M,NUMPOINTS,inc_rate
"360290137014","Block Group 4, Census Tract 137.01, Erie County, New York",87729,26032,2561,705,0,"0"
"360290052014","Block Group 4, Census Tract 52.01, Erie County, New York",83859,41641,971,231,4,"412"
"360290080015","Block Group 5, Census Tract 80.01, Erie County, New York",53369,13930,1041,403,3,"288"
"360290106001","Block Group 1, Census Tract 106, Erie County, New York",41500,15390,1072,402,0,"0"
"360290043005","Block Group 5, Census Tract 43, Erie County, New York",62549,35850,2239,1159,21,"938"
"360290030002","Block Group 2, Census Tract 30, Erie County, New York",23750,8540,1501,716,30,"1999"
"360290167001","Block Group 1, Census Tract 167, Erie County, New York",52548,16355,655,179,29,"4427"
"360290143004","Block Group 4, Census Tract 143, Erie County, New York",40833,14997,909,336,0,"0"
"360290081023","Block Group 3, Census Tract 81.02, Erie County, New York",134583,49329,857,158,0,"0"
"360290120013","Block Group 3, Census Tract 120.01, Erie County, New York",92500,12306,799,240,0,"0"
"360290067012","Block Group 2, Census Tract 67.01, Erie County, New York",54219,48183,1229,459,15,"1221"
"360290135012","Block Group 2, Census Tract 135.01, Erie County, New York",55655,44498,1221,241,0,"0"
"360290120031","Block Group 1, Census Tract 120.03, Erie County, New York",62392,11332,1730,268,3,"173"
"360290071042","Block Group 2, Census Tract 71.04, Erie County, New York",,,952,260,23,"2416"
"360290063022","Block Group 2, Census Tract 63.02, Erie County, New York",77500,18402,1246,227,5,"401"
"360290043007","Block Group 7, Census Tract 43, Erie County, New York",,,901,581,19,"2109"
"360290090074","Block Group 4, Census Tract 90.07, Erie County, New York",171629,27251,1465,374,0,"0"
"360290051003","Block Group 3, Census Tract 51, Erie County, New York",51439,16666,517,177,11,"2128"
"360290056005","Block Group 5, Census Tract 56, Erie County, New York",35750,18697,556,176,12,"2158"
"360290082011","Block Group 1, Census Tract 82.01, Erie County, New York",65197,17428,827,308,1,"121"
"360290088002","Block Group 2, Census Tract 88, Erie County, New York",71761,2036,1403,435,1,"71"
"360290081022","Block Group 2, Census Tract 81.02, Erie County, New York",49853,12409,1067,232,2,"187"
"360290149032","Block Group 2, Census Tract 149.03, Erie County, New York",86360,17923,621,251,0,"0"
"360290067023","Block Group 3, Census Tract 67.02, Erie County, New York",39714,8436,551,135,3,"544"
"360290011002","Block Group 2, Census Tract 11, Erie County, New York",47212,29970,610,193,14,"2295"
"360290092001","Block Group 1, Census Tract 92, Erie County, New York",77656,14992,1590,447,2,"126"
"360290069014","Block Group 4, Census Tract 69.01, Erie County, New York",30721,17639,777,262,23,"2960"
"360290043004","Block Group 4, Census Tract 43, Erie County, New York",81322,18599,763,419,3,"393"
"360290033014","Block Group 4, Census Tract 33.01, Erie County, New York",48710,1250,762,285,30,"3937"
"360290033011","Block Group 1, Census Tract 33.01, Erie County, New York",55421,38502,638,224,15,"2351"
"360290109012","Block Group 2, Census Tract 109.01, Erie County, New York",62798,27969,808,197,0,"0"
"360290125015","Block Group 5, Census Tract 125.01, Erie County, New York",49625,10594,509,191,0,"0"
"360290143002","Block Group 2, Census Tract 143, Erie County, New York",64375,19351,1090,309,0,"0"
